,DATE,HDI,TC,TD,STI,Population,GDPCAP
0,12/31/2019,0.498,0.0,0.0,0.0,17.4772331,7.497754494
1,1/1/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
2,1/2/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
3,1/3/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
4,1/4/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
5,1/5/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
6,1/6/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
7,1/7/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
8,1/8/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
9,1/9/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
10,1/10/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
11,1/11/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
12,1/12/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
13,1/13/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
14,1/14/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
15,1/15/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
16,1/16/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
17,1/17/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
18,1/18/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
19,1/19/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
20,1/20/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
21,1/21/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
22,1/22/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
23,1/23/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
24,1/24/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
25,1/25/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
26,1/26/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
27,1/27/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
28,1/28/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
29,1/29/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
30,1/30/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
31,1/31/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
32,2/1/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
33,2/2/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
34,2/3/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
35,2/4/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
36,2/5/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
37,2/6/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
38,2/7/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
39,2/8/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
40,2/9/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
41,2/10/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
42,2/11/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
43,2/12/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
44,2/13/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
45,2/14/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
46,2/15/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
47,2/16/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
48,2/17/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
49,2/18/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
50,2/19/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
51,2/20/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
52,2/21/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
53,2/22/2020,0.498,0.0,0.0,0.0,17.4772331,7.497754494
54,2/23/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
55,2/24/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
56,2/25/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
57,2/26/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
58,2/27/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
59,2/28/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
60,2/29/2020,0.498,0.0,0.0,2.119863456,17.4772331,7.497754494
61,3/1/2020,0.498,0.0,0.0,3.324316337,17.4772331,7.497754494
